domain,host,is_valid_host,sitemap_url_count,loaded_by_robot,in_search_yandex,excluded_yandex,fatal_problems,index_ratio,indexnow_eligible,recrawl_eligible,wm_status
kamin-zakaz24.ru,brn.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,brn.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,brn.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,brn.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,brn.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,chel.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,chel.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,chel.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,chel.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,chel.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,chel.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,chel.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dom-stroy-online.ru,dom-stroy-online.ru,false,5,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,ekb.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,ekb.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,ekb.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,ekb.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,ekb.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,ekb.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,ekb.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
ipoteka-remont.ru,ipoteka-remont.ru,false,5,0,0,0,0,0.00,false,false,"http:404"
kalkremont.ru,kalkremont.ru,false,9040,0,0,0,0,0.00,false,false,"verified:3problems"
dizayn-interyera-online.ru,krd.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,krd.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,krd.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,krd.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,krd.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,krd.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,krd.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kuhni-zakaz-online.ru,kuhni-zakaz-online.ru,false,5,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,kzn.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,kzn.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,kzn.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,kzn.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,kzn.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,kzn.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,kzn.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,moskva.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,moskva.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,moskva.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,moskva.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,moskva.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,moskva.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,moskva.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,nn.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,nn.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,nn.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,nn.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,nn.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,nn.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,nn.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,nsk.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,nsk.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,nsk.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,nsk.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,nsk.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,nsk.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,nsk.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,perm.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,perm.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,perm.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,perm.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,perm.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,perm.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,perm.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,rnd.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,rnd.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,rnd.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,rnd.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,rnd.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,rnd.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,rnd.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,sam.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,sam.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,sam.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,sam.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,sam.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,sam.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,sam.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,spb.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,spb.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,spb.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
