domain,host,project,is_valid_host,is_bad_host,reason_if_bad,sitemap_url,sitemap_url_count,indexable_url_count,canonical_mode,robots_status,yandex_webmaster_status,google_search_console_status,indexnow_eligible,recrawl_eligible,metrika_counter,lead_forms_present,monetization_slots_present,priority_score
kalkremont.ru,rzn.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · rzn",true,false,"",https://rzn.kalkremont.ru/sitemap.xml,21,21,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,47
kalkremont.ru,vvo.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · vvo",true,false,"",https://vvo.kalkremont.ru/sitemap.xml,21,21,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,47
kalkremont.ru,cbx.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · cbx",true,false,"",https://cbx.kalkremont.ru/sitemap.xml,16,16,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,41
kalkremont.ru,tlt.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · tlt",true,false,"",https://tlt.kalkremont.ru/sitemap.xml,16,16,"self","200 DISALLOW-ALL! +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,41
kalkremont.ru,sovety.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · sovety",true,false,"",https://sovety.kalkremont.ru/sitemap.xml,11,11,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,32
ipoteka-remont.ru,brn.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · brn",true,false,"",https://brn.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,brn.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · brn",true,false,"",https://brn.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,chel.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · chel",true,false,"",https://chel.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,chel.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · chel",true,false,"",https://chel.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
dom-stroy-online.ru,ekb.dom-stroy-online.ru,"dom-stroy (строительство домов) · ekb",true,false,"",https://ekb.dom-stroy-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,ekb.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · ekb",true,false,"",https://ekb.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,ekb.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · ekb",true,false,"",https://ekb.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
dom-stroy-online.ru,krd.dom-stroy-online.ru,"dom-stroy (строительство домов) · krd",true,false,"",https://krd.dom-stroy-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,krd.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · krd",true,false,"",https://krd.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,krd.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · krd",true,false,"",https://krd.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
dom-stroy-online.ru,kzn.dom-stroy-online.ru,"dom-stroy (строительство домов) · kzn",true,false,"",https://kzn.dom-stroy-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,kzn.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · kzn",true,false,"",https://kzn.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,kzn.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · kzn",true,false,"",https://kzn.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
dom-stroy-online.ru,moskva.dom-stroy-online.ru,"dom-stroy (строительство домов) · moskva",true,false,"",https://moskva.dom-stroy-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,moskva.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · moskva",true,false,"",https://moskva.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,moskva.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · moskva",true,false,"",https://moskva.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
dom-stroy-online.ru,nn.dom-stroy-online.ru,"dom-stroy (строительство домов) · nn",true,false,"",https://nn.dom-stroy-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,nn.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · nn",true,false,"",https://nn.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,nn.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · nn",true,false,"",https://nn.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
dom-stroy-online.ru,nsk.dom-stroy-online.ru,"dom-stroy (строительство домов) · nsk",true,false,"",https://nsk.dom-stroy-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,nsk.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · nsk",true,false,"",https://nsk.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
