domain,host,project,is_valid_host,sitemap_url_count,in_search_yandex,index_gap,lead_forms_present,monetization_slots_present,metrika_counter,indexnow_eligible,recrawl_eligible,priority_score,next_action
kuhni-zakaz-online.ru,sam.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · sam",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
dom-stroy-online.ru,spb.dom-stroy-online.ru,"dom-stroy (строительство домов) · spb",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,spb.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · spb",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,spb.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · spb",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,tyumen.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · tyumen",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,tyumen.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · tyumen",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,ufa.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · ufa",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,ufa.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · ufa",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,vlg.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · vlg",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,vlg.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · vlg",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,vrn.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · vrn",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,vrn.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · vrn",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kalkremont.ru,brand.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · brand",true,9,8,1,no,no,present(id?),true,true,12,"ADD lead CTA/form"
dom-stroy-online.ru,brn.dom-stroy-online.ru,"dom-stroy (строительство домов) · brn",true,0,0,0,no,no,,true,false,6,"ADD Metrika counter"
dom-stroy-online.ru,chel.dom-stroy-online.ru,"dom-stroy (строительство домов) · chel",true,0,0,0,no,no,,true,false,6,"ADD Metrika counter"
dom-stroy-online.ru,perm.dom-stroy-online.ru,"dom-stroy (строительство домов) · perm",true,0,0,0,no,no,,true,false,6,"ADD Metrika counter"
dom-stroy-online.ru,rnd.dom-stroy-online.ru,"dom-stroy (строительство домов) · rnd",true,0,0,0,no,no,,true,false,6,"ADD Metrika counter"
dom-stroy-online.ru,sam.dom-stroy-online.ru,"dom-stroy (строительство домов) · sam",true,0,0,0,no,no,,true,false,6,"ADD Metrika counter"
dom-stroy-online.ru,tyumen.dom-stroy-online.ru,"dom-stroy (строительство домов) · tyumen",true,0,0,0,no,no,,true,false,6,"ADD Metrika counter"
dom-stroy-online.ru,ufa.dom-stroy-online.ru,"dom-stroy (строительство домов) · ufa",true,0,0,0,no,no,,true,false,6,"ADD Metrika counter"
dom-stroy-online.ru,vlg.dom-stroy-online.ru,"dom-stroy (строительство домов) · vlg",true,0,0,0,no,no,,true,false,6,"ADD Metrika counter"
dom-stroy-online.ru,vrn.dom-stroy-online.ru,"dom-stroy (строительство домов) · vrn",true,0,0,0,no,no,,true,false,6,"ADD Metrika counter"
